,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind,Time_Index
1/8/2020 6:00,32.521204,7252.75712,882.703603,14184.0393,55.49754,5093.419761,-0.573236,0.0035,15268.0438,174
1/8/2020 7:00,29.711022,8681.975631,1870.431542,15699.01172,55.386499,5092.834915,10.272722,0.0035,15781.94638,175
1/8/2020 8:00,27.835241,9410.83742,1604.364124,15911.72577,56.604498,5090.096704,-0.328851,6.367649,16924.71569,176
1/8/2020 9:00,28.7233,9059.232934,836.399981,15100.14953,57.353592,5090.70362,1.253558,382.744076,16792.02434,177
1/8/2020 10:00,27.85857,8672.466307,656.150987,13488.44301,57.157526,5090.130033,-14.7327,1286.601294,15717.77966,178
1/8/2020 11:00,28.116892,6514.878594,547.202543,12275.77762,101.632695,5094.604215,-14.431529,1316.526544,17168.10655,179
1/8/2020 12:00,27.713406,5605.205419,557.598063,11001.78607,109.606625,5099.725499,-11.82256,1261.89566,17811.47567,180
1/8/2020 13:00,27.481924,5536.515008,565.508359,9988.853992,133.777497,5097.556659,-13.860849,1108.906391,17461.18416,181
1/8/2020 14:00,26.420189,4907.769243,564.803278,9517.556517,76.588769,5094.243144,-5.474353,995.285725,17883.01419,182
1/8/2020 15:00,27.324559,4453.923142,581.451127,9228.526229,57.238274,5093.929374,-1.536041,1021.008828,17975.41533,183
1/8/2020 16:00,27.741251,4388.349846,568.972064,8968.577396,79.184935,5094.717145,-4.770124,800.591411,18173.95469,184
1/8/2020 17:00,29.794977,4511.081623,531.344181,9297.490198,83.654267,5099.011248,-2.481142,488.177096,18368.42572,185
1/8/2020 18:00,36.717847,5530.123984,523.777807,9812.065174,84.619506,5099.299612,0.43615,131.413937,18586.22354,186
1/8/2020 19:00,36.936705,7328.280258,527.34989,9867.406808,85.239623,5097.733285,1.840342,0.0035,18996.43153,187
1/8/2020 20:00,37.67176,6941.417503,529.971767,9790.949056,85.737092,5096.961198,-1.619952,0.0035,19179.55738,188
1/8/2020 21:00,37.669777,6164.166163,458.965649,9760.096027,85.530604,5091.239193,-1.574592,0.0035,19494.45405,189
1/8/2020 22:00,36.117542,5220.660512,447.707187,8924.132422,60.123577,5090.685526,-0.591177,0.007,19776.26512,190
1/8/2020 23:00,36.773036,4666.141148,440.449153,7171.972964,18.245024,5089.679138,-0.668451,0.0035,19773.859,191
1/8/2020 0:00,37.070058,4307.566686,434.529536,6106.609824,16.895091,5092.938049,-3.884176,0.0035,18744.09992,192
1/9/2020 1:00,37.033806,4034.917198,431.787789,5378.957469,16.881474,5093.659492,-2.698855,0.0035,18014.98205,193
1/9/2020 2:00,36.964211,3945.316027,433.678028,4848.932218,16.842792,5093.384836,-2.111102,0.0035,17548.58363,194
1/9/2020 3:00,36.861207,3918.984547,439.431245,4665.616813,16.629968,5093.664506,-2.675973,0.0035,17313.03654,195
1/9/2020 4:00,36.879113,3842.386988,435.760113,4700.640088,16.589129,5093.324629,-2.519711,0.0035,17041.90508,196
1/9/2020 5:00,36.756769,3870.342027,465.45186,5552.135283,20.00683,5093.367385,-1.659068,0.0035,16760.31956,197
1/9/2020 6:00,36.91271,3859.960028,437.625207,7195.817562,57.34879,5094.655518,-1.181267,0.007,17440.74756,198
1/9/2020 7:00,36.886744,4397.81895,441.079651,10043.95665,57.43675,5095.64832,-1.275522,0.0035,17467.02899,199
1/9/2020 8:00,31.734917,5237.965553,451.263094,11495.44847,56.680689,5093.959166,-0.981347,0.874381,16450.63596,200
1/9/2020 9:00,31.042836,5590.339247,534.717102,11965.47563,54.102787,5095.509711,-2.444738,170.256376,15191.28711,201
1/9/2020 10:00,29.717311,6052.552242,553.339388,12777.11277,54.055834,5095.121538,-0.44286,1116.096118,13182.26921,202
1/9/2020 11:00,29.271998,6565.622319,499.700087,13101.66324,87.177772,5095.785656,7.586279,1666.415335,12120.64558,203
1/9/2020 12:00,31.118482,6988.171201,548.724997,13057.75002,94.932309,5094.675034,7.890107,1692.815117,11758.90052,204
1/9/2020 13:00,30.680918,7661.095492,551.787694,13258.99453,62.708942,5094.071223,6.40084,1646.797889,10963.01684,205
1/9/2020 14:00,30.227548,8195.414388,537.828289,13380.79408,54.93394,5093.736869,4.333506,1707.056806,10251.72066,206
1/9/2020 15:00,30.117571,8191.218731,534.11012,13479.92972,55.443884,5094.188763,3.35055,1744.35455,9856.431041,207
1/9/2020 16:00,29.75018,7726.247704,531.199358,13626.89396,82.246173,5094.567232,-7.779489,1721.907107,9981.303091,208
1/9/2020 17:00,32.22773,8036.19346,563.29812,13910.03312,95.527247,5094.565167,1.766231,1320.885598,9809.013414,209
1/9/2020 18:00,33.603358,8309.378002,1251.764989,14842.5794,94.722229,5094.082637,0.83353,306.650814,9326.444487,210
1/9/2020 19:00,34.671918,7895.99433,1140.711685,14516.52026,110.48141,5093.103136,-2.887204,0.07665,11685.29188,211
1/9/2020 20:00,35.45081,6048.642947,777.493682,13772.18786,103.047897,5092.704233,-0.934354,0.0035,14690.22141,212
1/9/2020 21:00,36.643195,5010.707713,674.493741,12802.38044,85.139742,5093.19279,-3.046744,0.0035,16510.30524,213
1/9/2020 22:00,37.277681,4492.878347,621.281417,10551.39378,58.749531,5093.664462,-1.878801,0.0035,18187.63283,214
1/9/2020 23:00,37.202049,4354.465778,529.048021,8259.600881,57.134658,5093.710424,-2.093278,0.0035,18655.83314,215
1/9/2020 0:00,37.326276,4214.106554,522.503176,6602.989047,17.442647,5093.497193,-1.437871,0.0035,18105.85406,216
1/10/2020 1:00,37.259551,3958.339698,527.377715,6169.636758,17.040063,5094.061941,-1.736376,0.007,17132.79013,217
1/10/2020 2:00,37.370322,3679.310972,523.850727,6448.083467,17.016216,5093.926676,-0.930852,0.0035,16104.73165,218
