Delivery Date,Hour Ending,Price,Time_Index,Date,Year
05/21/2018,16:00,69.48,3375,2018-05-21 14:00:00,2018
12/21/2018,07:00,69.34,8503,2018-12-21 06:00:00,2018
10/04/2018,16:00,69.32,6639,2018-10-04 14:00:00,2018
06/07/2018,17:00,69.29,3784,2018-06-07 15:00:00,2018
01/17/2018,18:00,69.25,402,2018-01-17 17:00:00,2018
08/20/2018,18:00,69.25,5561,2018-08-20 16:00:00,2018
09/01/2018,16:00,69.24,5847,2018-09-01 14:00:00,2018
11/13/2018,20:00,69.17,7604,2018-11-13 19:00:00,2018
07/29/2018,19:00,69.16,5034,2018-07-29 17:00:00,2018
07/13/2018,16:00,69.04,4647,2018-07-13 14:00:00,2018
05/14/2018,16:00,69.01,3207,2018-05-14 14:00:00,2018
07/30/2018,15:00,68.98,5054,2018-07-30 13:00:00,2018
01/03/2018,19:00,68.89,67,2018-01-03 18:00:00,2018
08/30/2018,15:00,68.8,5798,2018-08-30 13:00:00,2018
12/08/2018,18:00,68.79,8202,2018-12-08 17:00:00,2018
01/18/2018,19:00,68.65,427,2018-01-18 18:00:00,2018
01/17/2018,21:00,68.58,405,2018-01-17 20:00:00,2018
07/10/2018,16:00,68.21,4575,2018-07-10 14:00:00,2018
01/03/2018,09:00,68.02,57,2018-01-03 08:00:00,2018
07/14/2018,16:00,67.84,4671,2018-07-14 14:00:00,2018
01/02/2018,11:00,67.81,35,2018-01-02 10:00:00,2018
06/12/2018,17:00,67.62,3904,2018-06-12 15:00:00,2018
08/18/2018,15:00,67.37,5510,2018-08-18 13:00:00,2018
06/27/2018,15:00,67.36,4262,2018-06-27 13:00:00,2018
06/01/2018,15:00,67.35,3638,2018-06-01 13:00:00,2018
07/03/2018,18:00,67.35,4409,2018-07-03 16:00:00,2018
05/19/2018,17:00,67.18,3328,2018-05-19 15:00:00,2018
05/31/2018,18:00,67.06,3617,2018-05-31 16:00:00,2018
11/19/2018,07:00,67.06,7735,2018-11-19 06:00:00,2018
