Day,2012Spearman daily,2013Spearman daily,2014Spearman daily,2015Spearman daily,2016Spearman daily,2017Spearman daily,2018Spearman daily,2019Spearman daily,2020Spearman daily,2021Spearman daily
49,,,,,,,,,0.716462759206759,
49,,,,,,,,,,-0.15905365931769566
50,0.8600186218070738,,,,,,,,,
50,,0.7971760212765406,,,,,,,,
50,,,0.8469581274252447,,,,,,,
50,,,,0.8487099503230293,,,,,,
50,,,,,0.9586063326053245,,,,,
50,,,,,,0.7610848765386286,,,,
50,,,,,,,0.7491168339422942,,,
50,,,,,,,,0.6900735456126458,,
50,,,,,,,,,0.9072311678215829,
50,,,,,,,,,,-0.4885510811783551
51,0.9539047769415313,,,,,,,,,
51,,0.8403181029065869,,,,,,,,
51,,,0.7980731740635132,,,,,,,
51,,,,0.8897210446058043,,,,,,
51,,,,,0.846855481476369,,,,,
51,,,,,,0.9126513589310512,,,,
51,,,,,,,0.7580441047771471,,,
51,,,,,,,,0.8362340646770889,,
51,,,,,,,,,0.8984799753830587,
51,,,,,,,,,,0.4713626948500451
52,0.74131423129409,,,,,,,,,
52,,0.6916729695880339,,,,,,,,
52,,,0.8977840580714669,,,,,,,
52,,,,0.37605535052498074,,,,,,
52,,,,,0.8781265090961704,,,,,
52,,,,,,0.8634187339463925,,,,
52,,,,,,,0.8540354222350991,,,
52,,,,,,,,0.8910928264164601,,
52,,,,,,,,,0.8813571482440984,
52,,,,,,,,,,0.7787727549728347
53,0.9449080628932315,,,,,,,,,
53,,0.7595638608085301,,,,,,,,
53,,,0.7798468873074564,,,,,,,
53,,,,0.5778202598616742,,,,,,
53,,,,,0.8425355605806631,,,,,
53,,,,,,0.8826841025742342,,,,
53,,,,,,,0.857425617830224,,,
53,,,,,,,,0.8515332615114679,,
53,,,,,,,,,0.8310309215124578,
53,,,,,,,,,,0.7993984240777827
54,0.7880593910995894,,,,,,,,,
54,,0.4514951405065285,,,,,,,,
54,,,0.8318535545831915,,,,,,,
54,,,,0.9404141135649174,,,,,,
54,,,,,0.8949916890211638,,,,,
54,,,,,,0.8862427498295091,,,,
54,,,,,,,0.6527853626980087,,,
54,,,,,,,,0.8901300792815342,,
54,,,,,,,,,0.9174655384024865,
54,,,,,,,,,,0.8752568452018268
55,0.8445696553495746,,,,,,,,,
55,,0.753326108032078,,,,,,,,
55,,,0.6128784805730225,,,,,,,
55,,,,0.9042956543059226,,,,,,
55,,,,,0.8729803468522862,,,,,
55,,,,,,0.95971166614901,,,,
55,,,,,,,0.8211126664550099,,,
55,,,,,,,,0.9164067383465037,,
55,,,,,,,,,0.9207438801093057,
55,,,,,,,,,,0.8881011186672984
56,0.7002735742057563,,,,,,,,,
56,,0.6440686507192093,,,,,,,,
56,,,0.7660865913810544,,,,,,,
56,,,,0.7959346079498137,,,,,,
56,,,,,0.7667015077890716,,,,,
56,,,,,,0.8744418316063474,,,,
56,,,,,,,0.9053504608558656,,,
56,,,,,,,,0.960916767552923,,
56,,,,,,,,,0.9583273270490972,
56,,,,,,,,,,0.5337960701502509
57,0.7471879737622136,,,,,,,,,
57,,0.852146121796417,,,,,,,,
57,,,0.8748666272423438,,,,,,,
57,,,,0.8007166363222067,,,,,,
57,,,,,0.7853628593181449,,,,,
57,,,,,,0.7375097878720577,,,,
57,,,,,,,0.8092572936285458,,,
57,,,,,,,,0.503289529720164,,
57,,,,,,,,,0.6446432283782348,
57,,,,,,,,,,0.7387079537907987
58,0.8899185994370804,,,,,,,,,
58,,0.8819137090221795,,,,,,,,
58,,,0.8928313952862377,,,,,,,
58,,,,0.8855016895233442,,,,,,
58,,,,,0.9446532261417573,,,,,
58,,,,,,0.9300261899663202,,,,
58,,,,,,,0.7572540572190294,,,
58,,,,,,,,0.9094528310313149,,
58,,,,,,,,,0.7568473106814543,
58,,,,,,,,,,0.9002410816942136
59,0.8953380071091441,,,,,,,,,
59,,0.7488955719665755,,,,,,,,
59,,,0.9114854292323813,,,,,,,
59,,,,0.30026089913854487,,,,,,
59,,,,,0.9533859576975027,,,,,
59,,,,,,0.9402983245059272,,,,
59,,,,,,,0.9546020191381535,,,
59,,,,,,,,0.6615866500467406,,
59,,,,,,,,,0.9405406209154927,
59,,,,,,,,,,0.7651062117832051
60,0.9517848591460962,,,,,,,,,
60,,0.7789004650720158,,,,,,,,
60,,,0.8595273401760176,,,,,,,
60,,,,0.8034146835970968,,,,,,
60,,,,,0.7807410390158954,,,,,
60,,,,,,0.6339858400972566,,,,
60,,,,,,,0.8978904437108594,,,
60,,,,,,,,0.8250702649041387,,
60,,,,,,,,,0.9245732988374693,
60,,,,,,,,,,0.9061996887923676
61,0.6775006380989659,,,,,,,,,
61,,0.8525532629978484,,,,,,,,
61,,,0.625495878427516,,,,,,,
61,,,,0.6274605760681039,,,,,,
61,,,,,0.9335524674876157,,,,,
61,,,,,,0.9064136093452232,,,,
61,,,,,,,0.7539739917170609,,,
