Price,Date,Year
202.07,2020-03-24 17:00:00,2020
201.46,2020-04-08 17:00:00,2020
201.11,2019-08-26 12:00:00,2019
200.79,2013-08-02 15:00:00,2013
200.74,2021-04-08 16:00:00,2021
200.25,2012-04-25 16:00:00,2012
200.21,2021-02-20 07:00:00,2021
199.89,2021-08-30 14:00:00,2021
199.83,2018-07-25 13:00:00,2018
199.72,2012-09-06 15:00:00,2012
199.51,2019-07-10 14:00:00,2019
199.29,2019-10-03 13:00:00,2019
199.15,2019-09-04 16:00:00,2019
198.74,2021-08-30 15:00:00,2021
197.68,2014-02-12 07:00:00,2014
197.39,2014-01-24 07:00:00,2014
197.25,2021-08-31 13:00:00,2021
196.66,2019-10-02 13:00:00,2019
195.99,2019-08-08 14:00:00,2019
195.94,2014-03-03 05:00:00,2014
194.24,2018-01-16 18:00:00,2018
194.07,2018-07-27 15:00:00,2018
193.74,2019-08-23 14:00:00,2019
193.64,2018-05-29 15:00:00,2018
193.56,2020-08-16 14:00:00,2020
193.0,2014-08-08 13:00:00,2014
192.65,2012-09-05 14:00:00,2012
192.22,2013-08-05 15:00:00,2013
192.2,2019-07-10 15:00:00,2019
192.02,2019-07-31 15:00:00,2019
191.96,2018-01-02 07:00:00,2018
191.82,2021-02-12 10:00:00,2021
191.34,2016-08-04 15:00:00,2016
191.12,2019-08-29 14:00:00,2019
190.27,2019-08-13 17:00:00,2019
189.84,2019-10-03 16:00:00,2019
188.37,2018-05-30 15:00:00,2018
187.45,2014-03-06 06:00:00,2014
187.07,2014-03-03 10:00:00,2014
186.3,2021-04-08 18:00:00,2021
186.27,2019-08-08 15:00:00,2019
185.51,2014-02-06 10:00:00,2014
185.46,2019-07-31 14:00:00,2019
184.53,2014-01-29 07:00:00,2014
184.17,2012-07-31 16:00:00,2012
183.78,2015-08-11 13:00:00,2015
183.74,2018-07-16 15:00:00,2018
183.62,2019-08-11 16:00:00,2019
183.36,2019-08-17 16:00:00,2019
183.1,2016-08-08 15:00:00,2016
183.01,2021-06-14 14:00:00,2021
182.58,2012-05-04 15:00:00,2012
182.39,2018-05-25 14:00:00,2018
182.07,2019-09-02 15:00:00,2019
182.0,2021-10-20 13:00:00,2021
181.73,2013-08-07 14:00:00,2013
181.39,2015-08-07 13:00:00,2015
181.0,2016-08-06 14:00:00,2016
180.91,2019-11-12 07:00:00,2019
179.85,2021-06-13 15:00:00,2021
179.81,2021-07-31 15:00:00,2021
179.4,2019-08-09 13:00:00,2019
179.37,2019-08-25 15:00:00,2019
179.31,2016-08-06 15:00:00,2016
179.26,2021-07-29 13:00:00,2021
178.62,2015-08-13 13:00:00,2015
178.56,2014-08-11 15:00:00,2014
178.53,2020-08-28 15:00:00,2020
177.55,2019-08-09 16:00:00,2019
177.23,2016-09-19 14:00:00,2016
176.24,2012-06-25 13:00:00,2012
175.98,2021-06-13 16:00:00,2021
175.78,2020-07-12 15:00:00,2020
175.61,2021-04-08 17:00:00,2021
175.45,2012-09-04 14:00:00,2012
174.75,2019-08-22 13:00:00,2019
174.07,2021-06-16 16:00:00,2021
174.03,2019-08-01 14:00:00,2019
173.92,2018-05-26 14:00:00,2018
173.84,2016-08-05 15:00:00,2016
173.17,2019-08-30 14:00:00,2019
172.78,2015-03-06 06:00:00,2015
172.77,2014-02-11 18:00:00,2014
172.56,2021-10-25 14:00:00,2021
172.38,2021-07-31 14:00:00,2021
172.08,2018-07-24 13:00:00,2018
172.06,2020-08-29 13:00:00,2020
171.88,2019-07-13 15:00:00,2019
171.35,2021-07-30 13:00:00,2021
171.34,2018-05-24 15:00:00,2018
170.96,2018-07-20 13:00:00,2018
170.68,2016-08-04 13:00:00,2016
170.53,2015-03-05 18:00:00,2015
170.24,2020-03-24 16:00:00,2020
170.0,2019-08-25 14:00:00,2019
169.97,2018-01-02 06:00:00,2018
169.51,2021-07-28 15:00:00,2021
169.42,2021-07-19 15:00:00,2021
169.1,2019-09-24 12:00:00,2019
168.96,2018-05-31 14:00:00,2018
168.41,2021-02-12 19:00:00,2021
168.32,2018-05-30 14:00:00,2018
168.29,2019-08-05 15:00:00,2019
168.17,2019-09-25 16:00:00,2019
167.6,2019-03-04 18:00:00,2019
167.55,2014-11-18 06:00:00,2014
166.91,2019-08-23 15:00:00,2019
166.6,2016-08-12 15:00:00,2016
166.47,2016-08-07 14:00:00,2016
165.97,2013-08-06 14:00:00,2013
165.86,2014-03-03 21:00:00,2014
165.84,2013-08-30 15:00:00,2013
165.64,2012-06-11 15:00:00,2012
165.47,2020-06-08 13:00:00,2020
164.99,2014-02-03 06:00:00,2014
164.78,2019-08-01 15:00:00,2019
162.22,2021-02-20 00:00:00,2021
162.04,2012-04-05 15:00:00,2012
162.02,2014-02-11 19:00:00,2014
161.83,2014-02-27 06:00:00,2014
161.43,2018-07-03 15:00:00,2018
161.23,2012-06-28 14:00:00,2012
160.43,2021-10-25 15:00:00,2021
159.97,2018-05-29 14:00:00,2018
159.82,2013-06-27 14:00:00,2013
159.75,2019-09-23 14:00:00,2019
