NG,Time_Index,coal,Date,None,uranium
2.715,326,3.813894888,2012-01-14 13:00:00,0.0,0.705536
2.715,327,3.813894888,2012-01-14 14:00:00,0.0,0.705536
2.715,328,3.813894888,2012-01-14 15:00:00,0.0,0.705536
2.715,329,3.813894888,2012-01-14 16:00:00,0.0,0.705536
2.715,330,3.813894888,2012-01-14 17:00:00,0.0,0.705536
2.715,331,3.813894888,2012-01-14 18:00:00,0.0,0.705536
2.715,332,3.813894888,2012-01-14 19:00:00,0.0,0.705536
2.715,333,3.813894888,2012-01-14 20:00:00,0.0,0.705536
2.715,334,3.813894888,2012-01-14 21:00:00,0.0,0.705536
2.715,335,3.813894888,2012-01-14 22:00:00,0.0,0.705536
2.715,336,3.813894888,2012-01-14 23:00:00,0.0,0.705536
2.715,337,3.813894888,2012-01-15 00:00:00,0.0,0.705536
2.715,338,3.813894888,2012-01-15 01:00:00,0.0,0.705536
2.715,339,3.813894888,2012-01-15 02:00:00,0.0,0.705536
2.715,340,3.813894888,2012-01-15 03:00:00,0.0,0.705536
2.715,341,3.813894888,2012-01-15 04:00:00,0.0,0.705536
2.715,342,3.813894888,2012-01-15 05:00:00,0.0,0.705536
2.715,343,3.813894888,2012-01-15 06:00:00,0.0,0.705536
2.715,344,3.813894888,2012-01-15 07:00:00,0.0,0.705536
2.715,345,3.813894888,2012-01-15 08:00:00,0.0,0.705536
2.715,346,3.813894888,2012-01-15 09:00:00,0.0,0.705536
2.715,347,3.813894888,2012-01-15 10:00:00,0.0,0.705536
2.715,348,3.813894888,2012-01-15 11:00:00,0.0,0.705536
2.715,349,3.813894888,2012-01-15 12:00:00,0.0,0.705536
2.715,350,3.813894888,2012-01-15 13:00:00,0.0,0.705536
2.715,351,3.813894888,2012-01-15 14:00:00,0.0,0.705536
2.715,352,3.813894888,2012-01-15 15:00:00,0.0,0.705536
2.715,353,3.813894888,2012-01-15 16:00:00,0.0,0.705536
2.715,354,3.813894888,2012-01-15 17:00:00,0.0,0.705536
2.715,355,3.813894888,2012-01-15 18:00:00,0.0,0.705536
2.715,356,3.813894888,2012-01-15 19:00:00,0.0,0.705536
2.715,357,3.813894888,2012-01-15 20:00:00,0.0,0.705536
2.715,358,3.813894888,2012-01-15 21:00:00,0.0,0.705536
2.715,359,3.813894888,2012-01-15 22:00:00,0.0,0.705536
2.715,360,3.813894888,2012-01-15 23:00:00,0.0,0.705536
2.715,361,3.732901368,2012-01-16 00:00:00,0.0,0.705536
2.715,362,3.732901368,2012-01-16 01:00:00,0.0,0.705536
2.715,363,3.732901368,2012-01-16 02:00:00,0.0,0.705536
2.715,364,3.732901368,2012-01-16 03:00:00,0.0,0.705536
2.715,365,3.732901368,2012-01-16 04:00:00,0.0,0.705536
2.715,366,3.732901368,2012-01-16 05:00:00,0.0,0.705536
2.715,367,3.732901368,2012-01-16 06:00:00,0.0,0.705536
2.715,368,3.732901368,2012-01-16 07:00:00,0.0,0.705536
2.715,369,3.732901368,2012-01-16 08:00:00,0.0,0.705536
2.715,370,3.732901368,2012-01-16 09:00:00,0.0,0.705536
2.715,371,3.732901368,2012-01-16 10:00:00,0.0,0.705536
2.715,372,3.732901368,2012-01-16 11:00:00,0.0,0.705536
2.715,373,3.732901368,2012-01-16 12:00:00,0.0,0.705536
2.715,374,3.732901368,2012-01-16 13:00:00,0.0,0.705536
2.715,375,3.732901368,2012-01-16 14:00:00,0.0,0.705536
2.715,376,3.732901368,2012-01-16 15:00:00,0.0,0.705536
2.715,377,3.732901368,2012-01-16 16:00:00,0.0,0.705536
2.715,378,3.732901368,2012-01-16 17:00:00,0.0,0.705536
2.715,379,3.732901368,2012-01-16 18:00:00,0.0,0.705536
2.715,380,3.732901368,2012-01-16 19:00:00,0.0,0.705536
2.715,381,3.732901368,2012-01-16 20:00:00,0.0,0.705536
2.715,382,3.732901368,2012-01-16 21:00:00,0.0,0.705536
2.715,383,3.732901368,2012-01-16 22:00:00,0.0,0.705536
2.715,384,3.732901368,2012-01-16 23:00:00,0.0,0.705536
2.67,385,3.75449964,2012-01-17 00:00:00,0.0,0.705536
2.67,386,3.75449964,2012-01-17 01:00:00,0.0,0.705536
2.67,387,3.75449964,2012-01-17 02:00:00,0.0,0.705536
2.67,388,3.75449964,2012-01-17 03:00:00,0.0,0.705536
2.67,389,3.75449964,2012-01-17 04:00:00,0.0,0.705536
2.67,390,3.75449964,2012-01-17 05:00:00,0.0,0.705536
2.67,391,3.75449964,2012-01-17 06:00:00,0.0,0.705536
2.67,392,3.75449964,2012-01-17 07:00:00,0.0,0.705536
2.67,393,3.75449964,2012-01-17 08:00:00,0.0,0.705536
2.67,394,3.75449964,2012-01-17 09:00:00,0.0,0.705536
2.67,395,3.75449964,2012-01-17 10:00:00,0.0,0.705536
2.67,396,3.75449964,2012-01-17 11:00:00,0.0,0.705536
2.67,397,3.75449964,2012-01-17 12:00:00,0.0,0.705536
2.67,398,3.75449964,2012-01-17 13:00:00,0.0,0.705536
2.67,399,3.75449964,2012-01-17 14:00:00,0.0,0.705536
2.67,400,3.75449964,2012-01-17 15:00:00,0.0,0.705536
2.67,401,3.75449964,2012-01-17 16:00:00,0.0,0.705536
2.67,402,3.75449964,2012-01-17 17:00:00,0.0,0.705536
2.67,403,3.75449964,2012-01-17 18:00:00,0.0,0.705536
2.67,404,3.75449964,2012-01-17 19:00:00,0.0,0.705536
2.67,405,3.75449964,2012-01-17 20:00:00,0.0,0.705536
2.67,406,3.75449964,2012-01-17 21:00:00,0.0,0.705536
2.67,407,3.75449964,2012-01-17 22:00:00,0.0,0.705536
